dates,1y_yield,log_soma_nb_mbs_long,log_reserves_plus_rrp,share_onrrp,log_gdp,log_gdpdef,TermSpread,EBP
2014-09-01,0.001,29.02218659387194,28.724282574723439,0.0567999086170934,30.545284031941595,4.5726541273516075,0.025100000000000001,-0.209250657
2014-10-01,0.001,29.029614977134678,28.699357622962562,0.05161727283267499,30.54317275012247,4.57342859940632,0.022800000000000001,-0.208946809
2014-11-01,0.0011999999999999999,29.035113829971102,28.626948852677167,0.048808023176416214,30.54942751810582,4.572845094811143,0.023100000000000002,0.068194089
2014-12-01,0.002,29.03806608624031,28.644026000253717,0.031941899810184041,30.553752021130563,4.572348737181642,0.021799999999999996,0.086554843
2015-01-01,0.0018,29.039848747742152,28.688664159652259,0.046526277593060189,30.554877506620787,4.569217149520715,0.018499999999999996,-0.040918854
2015-02-01,0.0020999999999999999,29.039165944812762,28.619951929598489,0.049196777536705871,30.557002720186862,4.572602154378026,0.019599999999999999,-0.293370049
2015-03-01,0.0023999999999999998,29.038657482619165,28.670968830328366,0.033993192749558483,30.56138297990602,4.5751519189981495,0.0201,-0.130191709
2015-04-01,0.0022000000000000001,29.036517777125464,28.678745115902526,0.033128509872053583,30.56379179329122,4.576268843840654,0.019200000000000002,0.010819788
2015-05-01,0.0022000000000000001,29.036454219806352,28.642255087565491,0.03902926422715592,30.564456701484307,4.5780259621307895,0.021800000000000003,0.057198008
2015-06-01,0.0025999999999999999,29.037039240940864,28.632162642414293,0.040525881650739379,30.56355033933415,4.579869632428357,0.023400000000000001,0.154680157
2015-07-01,0.0028000000000000004,29.038363700816159,28.648191497540459,0.041968794021186757,30.567741477763068,4.581228532484593,0.022899999999999997,0.215763839
2015-08-01,0.0035999999999999999,29.038403797095214,28.642421557297748,0.030314717284281954,30.567456423396813,4.581193825476758,0.021000000000000001,0.405825947
2015-09-01,0.0034999999999999996,29.039348947495977,28.659008913626639,0.033674610234893321,30.568584195714816,4.579686761011967,0.021500000000000002,0.544938243
2015-10-01,0.0025000000000000001,29.041006429608274,28.682441978430965,0.047459081345529126,30.570256707975826,4.580533583838296,0.020500000000000001,0.431547616
2015-11-01,0.0045000000000000005,29.040363628497357,28.646314341375113,0.036183472887279362,30.569321075846084,4.581218179739655,0.021399999999999999,0.518579153
2015-12-01,0.0063,29.041088691512094,28.595085894167649,0.053820010345051905,30.569733712275344,4.580296414321694,0.020100000000000003,0.687981169
2016-01-01,0.0051999999999999998,29.041341953185032,28.563772612461371,0.039934201944373464,30.577456286240608,4.579583860109155,0.018299999999999997,0.924144259
2016-02-01,0.0051999999999999998,29.041570798919206,28.57352011121386,0.021620591253041044,30.576347678499946,4.578547218131392,0.0147,0.956905823
2016-03-01,0.0064000000000000003,29.042024967545156,28.581931276980754,0.026415165576874365,30.57283733849389,4.581301041629324,0.016,0.591017357
2016-04-01,0.0054000000000000003,29.041522178920388,28.55586567358624,0.013673055705348125,30.577049348370668,4.584789621458118,0.015800000000000002,0.245191513
2016-05-01,0.0056999999999999993,29.039347785873904,28.542754296975275,0.018014735308877761,30.576937103733965,4.586592570088465,0.0154,0.259048247
2016-06-01,0.0054000000000000003,29.038879297630881,28.549280871638672,0.030910041069417304,30.58226966157189,4.5883804236833585,0.013699999999999997,0.06615263
2016-07-01,0.0050000000000000001,29.038768029234358,28.523440890061515,0.028606478189476838,30.584910331027302,4.587308220484565,0.012,0.015588451
2016-08-01,0.0055000000000000005,29.039557870790588,28.545742982995034,0.033084229205850198,30.585651131031792,4.589063253050129,0.0126,-0.010384168
2016-09-01,0.0057999999999999996,29.04007103182628,28.53658753788595,0.059932288771297616,30.58690949645184,4.591052291981309,0.013399999999999999,-0.065607405
2016-10-01,0.0064000000000000003,29.037377384454118,28.484517745614632,0.081667354922789634,30.5892640217106,4.592736308680334,0.0143,-0.064113857
2016-11-01,0.0070999999999999995,29.038166329274659,28.478182066944093,0.05628509114326323,30.58848768728576,4.593875883305978,0.016900000000000002,-0.752725351
2016-12-01,0.0083999999999999995,29.039405437383142,28.480339158861987,0.10382654961276368,30.59628486380437,4.59528918683929,0.019800000000000002,-0.235344144
2017-01-01,0.0080000000000000002,29.038400431321637,28.470465100934735,0.067634570114528253,30.597054968797067,4.598226702330653,0.019200000000000002,-0.187126776
2017-02-01,0.0079000000000000008,29.041283864036114,28.520562624469079,0.053867172595921553,30.594335528146534,4.599518359175975,0.019,-0.173516699
2017-03-01,0.0097999999999999997,29.044277658559221,28.590721367616233,0.08545427441227639,30.597233164571932,4.599408940495849,0.017399999999999999,-0.161834774
2017-04-01,0.0101,29.045306485409192,28.538866665200935,0.054125553233036396,30.600451346554454,4.600891838238054,0.014999999999999999,-0.108480725
2017-05-01,0.0109,29.045137675178179,28.532846878195993,0.07110020515898563,30.60038499873923,4.601575598428702,0.0141,-0.156220275
2017-06-01,0.011699999999999999,29.045526405296407,28.531322016371707,0.077486469783697776,30.604533636323424,4.60252403142911,0.0121,-0.113845574
2017-07-01,0.011899999999999999,29.044562568081268,28.527308977659263,0.062677126589781765,30.608788090708956,4.602955714363096,0.012499999999999997,-0.137932537
2017-08-01,0.012,29.044449351235787,28.556839205013667,0.046250139598422696,30.609178761728064,4.606452921065708,0.011999999999999999,-0.068943009
2017-09-01,0.012500000000000001,29.044303441107786,28.551935402680634,0.061190686449414937,30.610970369906212,4.610941960562198,0.011700000000000002,-0.249547708
2017-10-01,0.013600000000000001,29.044087146413911,28.519937205593695,0.049986449324427758,30.61875387547664,4.611421875980096,0.012899999999999998,-0.204151295
2017-11-01,0.015100000000000001,29.042417176683003,28.518964615694518,0.021326849747571486,30.620490056038882,4.613019011634687,0.0112,-0.121285792
2017-12-01,0.016500000000000001,29.041125138976966,28.517054351931602,0.0476972645353358,30.623311636137586,4.614317242801739,0.010800000000000001,-0.187660282
2018-01-01,0.017500000000000002,29.037951384521222,28.476080493188949,0.020237843241204818,30.62604248403033,4.617570404015038,0.0117,-0.394355351
2018-02-01,0.019,29.034326834923167,28.481556092100547,0.015207338935350026,30.62889954826804,4.619799738531794,0.012899999999999998,-0.236287531
2018-03-01,0.02,29.031074017753991,28.437891189799597,0.0044550291599312272,30.63191379106348,4.6204089758693225,0.011399999999999997,-0.095634063
2018-04-01,0.020799999999999999,29.025888250594189,28.399969317618822,0.0030108097986263262,30.637864096753997,4.624161285128669,0.011099999999999999,-0.278184622
2018-05-01,0.022000000000000002,29.017250224919565,28.368819430487871,0.0022598102830453022,30.629619847913848,4.626752667863179,0.011199999999999998,-0.18982525
2018-06-01,0.022499999999999999,29.010777211598807,28.355565537215757,0.0053739300432925049,30.635245399020555,4.627997992307938,0.010100000000000001,0.034354969
2018-07-01,0.023099999999999999,29.002934185220795,28.333669799618008,0.0022255389706342765,30.637248881460806,4.628697530657871,0.0093000000000000027,-0.119296776
2018-08-01,0.023599999999999999,28.991803239907615,28.312970332664886,0.00082367199955100012,30.642190771352933,4.630578535438204,0.0086000000000000035,-0.088291546
2018-09-01,0.024700000000000003,28.983850209497341,28.296988594311145,0.0043016860431959788,30.64195247926316,4.632561408787942,0.0086999999999999994,-0.169707869
2018-10-01,0.025600000000000001,28.973820590616484,28.272184740001421,0.0015215522998321546,30.639617151174114,4.63446285352043,0.0090000000000000011,0.011548366
2018-11-01,0.026000000000000002,28.962819955737462,28.243989271190799,0.002764068432227883,30.641200863417367,4.634627802134806,0.0079000000000000008,0.155918611
2018-12-01,0.025699999999999997,28.952772555901188,28.199500175435372,0.003216884955063861,30.644821082353957,4.6356492429977445,0.0045999999999999999,0.357229048
